Heat Exchanger Surface,Flue Gas In [K],Flue Gas Out [K],Water/Steam In [K],Water/Steam Out [K],Heat Duty [kW]
HP_superheater,872.15,803.1970070771747,623.0061528612805,838.15,50121.65474363
IP_superheater,803.1970070771747,740.7519586246057,443.56351081360015,793.3008982793866,45391.05593997865
LP_superheater,740.7519586246057,734.427953943781,416.76253299838277,681.1412376576549,4596.893706472756
HP_evaporator,734.427953943781,666.7173969336587,623.0061528612805,623.0061528612805,49218.53304842976
IP_superheater_2,666.7173969336587,666.7173969336587,443.56351081360015,443.56351081360015,0.0
HP_economiser,666.7173969336587,587.452943918117,418.40643246415107,623.0061528612805,57617.01383918528
IP_evaporator,587.452943918117,573.3705675104603,443.56351081360015,443.56351081360015,10236.42308121995
IP_economiser,573.3705675104603,572.5737570324136,416.8090794769212,443.56351081360015,579.1983492502476
LP_evaporator,572.5737570324136,431.7007970197701,416.76253299838277,416.76253299838277,102399.99114135047
LP_economiser,431.7007970197701,351.27231474442624,288.1579152793768,416.76253299838277,58463.14205201836
